LAST SEEN   TYPE      REASON              OBJECT                             MESSAGE
37m         Normal    Scheduled           pod/ledger-api-69f7c494f6-q9kmk    Successfully assigned payments/ledger-api-69f7c494f6-q9kmk to ledger-cluster-control-plane
10m         Warning   PolicyViolation     pod/reporting-69cf9d7bd-p4rsn      policy disallow-root-containers/check-runasnonroot fail: validation error: Containers must set securityContext.runAsNonRoot=true. rule check-runasnonroot failed at path /spec/containers/0/securityContext/
10m         Warning   PolicyViolation     deployment/reporting               policy disallow-root-containers/autogen-check-runasnonroot fail: validation error: Containers must set securityContext.runAsNonRoot=true. rule autogen-check-runasnonroot failed at path /spec/template/spec/containers/0/securityContext/
10m         Warning   PolicyViolation     deployment/reporting               policy disallow-root-containers/autogen-check-runasnonroot fail: validation error: Containers must set securityContext.runAsNonRoot=true. rule autogen-check-runasnonroot failed at path /spec/template/spec/containers/0/securityContext/
37m         Normal    Scheduled           pod/ledger-api-86d7b586fb-ktjts    Successfully assigned payments/ledger-api-86d7b586fb-ktjts to ledger-cluster-control-plane
10m         Warning   PolicyViolation     replicaset/reporting-69cf9d7bd     policy disallow-root-containers/autogen-check-runasnonroot fail: validation error: Containers must set securityContext.runAsNonRoot=true. rule autogen-check-runasnonroot failed at path /spec/template/spec/containers/0/securityContext/
32m         Normal    Scheduled           pod/curl-test                      Successfully assigned payments/curl-test to ledger-cluster-control-plane
10m         Warning   PolicyViolation     pod/reporting-69cf9d7bd-p4rsn      policy disallow-root-containers/check-runasnonroot fail: validation error: Containers must set securityContext.runAsNonRoot=true. rule check-runasnonroot failed at path /spec/containers/0/securityContext/
10m         Warning   PolicyViolation     pod/reporting-69cf9d7bd-p4rsn      policy disallow-root-containers/check-runasnonroot fail: validation error: Containers must set securityContext.runAsNonRoot=true. rule check-runasnonroot failed at path /spec/containers/0/securityContext/
9m47s       Warning   PolicyViolation     pod/reporting-69cf9d7bd-p4rsn      policy disallow-root-containers/check-runasnonroot fail: validation error: Containers must set securityContext.runAsNonRoot=true. rule check-runasnonroot failed at path /spec/containers/0/securityContext/
10m         Warning   PolicyViolation     replicaset/reporting-69cf9d7bd     policy disallow-root-containers/autogen-check-runasnonroot fail: validation error: Containers must set securityContext.runAsNonRoot=true. rule autogen-check-runasnonroot failed at path /spec/template/spec/containers/0/securityContext/
10m         Warning   PolicyViolation     deployment/reporting               policy disallow-root-containers/autogen-check-runasnonroot fail: validation error: Containers must set securityContext.runAsNonRoot=true. rule autogen-check-runasnonroot failed at path /spec/template/spec/containers/0/securityContext/
9m47s       Warning   PolicyViolation     replicaset/reporting-69cf9d7bd     policy disallow-root-containers/autogen-check-runasnonroot fail: validation error: Containers must set securityContext.runAsNonRoot=true. rule autogen-check-runasnonroot failed at path /spec/template/spec/containers/0/securityContext/
